"table_name","column_name","data_type","is_nullable","column_default","constraints"
"media_files","updated_at","timestamp with time zone","NO","now()","null"
"notifications","id","uuid","NO","gen_random_uuid()","PRIMARY KEY, FOREIGN KEY"
"notifications","user_id","uuid","YES","null","null"
"notifications","type","USER-DEFINED","NO","null","null"
"notifications","title","text","NO","null","null"
"notifications","message","text","NO","null","null"
"notifications","data","jsonb","YES","'{}'::jsonb","null"
"notifications","is_read","boolean","YES","false","null"
"notifications","created_at","timestamp with time zone","YES","timezone('utc'::text, now())","null"
"notifications","word_id","uuid","YES","null","null"
"notifications","submission_id","uuid","YES","null","null"
"notifications","comment_id","uuid","YES","null","null"
"profiles","id","uuid","NO","null","FOREIGN KEY, PRIMARY KEY"
"profiles","full_name","text","YES","null","null"
"profiles","avatar_url","text","YES","null","null"
"profiles","created_at","timestamp with time zone","YES","now()","null"
"profiles","updated_at","timestamp with time zone","YES","now()","null"
"quiz_answers","id","uuid","NO","uuid_generate_v4()","PRIMARY KEY, FOREIGN KEY"
"quiz_answers","question_id","uuid","YES","null","null"
"quiz_answers","answer","text","NO","null","null"
"quiz_answers","is_correct","boolean","YES","false","null"
"quiz_answers","created_at","timestamp with time zone","YES","now()","null"
"quiz_questions","id","uuid","NO","uuid_generate_v4()","PRIMARY KEY, FOREIGN KEY"
"quiz_questions","quiz_id","uuid","YES","null","UNIQUE"
"quiz_questions","question","text","NO","null","null"
"quiz_questions","order_number","integer","NO","null","UNIQUE"
"quiz_questions","created_at","timestamp with time zone","YES","now()","null"
"quiz_submissions","id","uuid","NO","uuid_generate_v4()","PRIMARY KEY, FOREIGN KEY, FOREIGN KEY"
"quiz_submissions","user_id","uuid","YES","null","null"
"quiz_submissions","quiz_id","uuid","YES","null","null"
"quiz_submissions","answers","jsonb","NO","null","null"
"quiz_submissions","score","integer","YES","null","null"
"quiz_submissions","passed","boolean","YES","null","null"
"quiz_submissions","created_at","timestamp with time zone","YES","timezone('utc'::text, now())","null"
"quizzes","id","uuid","NO","uuid_generate_v4()","PRIMARY KEY, PRIMARY KEY, FOREIGN KEY, FOREIGN KEY, FOREIGN KEY, PRIMARY KEY, PRIMARY KEY"
"quizzes","id","uuid","NO","uuid_generate_v4()","PRIMARY KEY, PRIMARY KEY, FOREIGN KEY, FOREIGN KEY, FOREIGN KEY, PRIMARY KEY, PRIMARY KEY"
"quizzes","newsletter_id","uuid","NO","null","null"
"quizzes","step_id","uuid","YES","null","UNIQUE"
"quizzes","title","text","NO","null","null"
"quizzes","title","text","NO","null","null"
"quizzes","description","text","YES","null","null"
"quizzes","created_at","timestamp with time zone","YES","now()","null"
"quizzes","passing_score","integer","YES","70","null"
"quizzes","updated_at","timestamp with time zone","YES","now()","null"
"quizzes","created_by","uuid","NO","null","null"
"quizzes","is_required","boolean","YES","true","null"
"quizzes","created_at","timestamp with time zone","YES","now()","null"
"step_completions","id","uuid","NO","gen_random_uuid()","PRIMARY KEY, FOREIGN KEY, FOREIGN KEY"
"step_completions","user_id","uuid","YES","null","UNIQUE"
"step_completions","step_id","uuid","YES","null","UNIQUE"
"step_completions","completed_at","timestamp with time zone","NO","now()","null"
"step_completions","created_at","timestamp with time zone","NO","now()","null"
"user_media","id","uuid","NO","gen_random_uuid()","PRIMARY KEY, FOREIGN KEY"
"user_media","user_id","uuid","YES","null","null"
"user_media","file_path","text","NO","null","null"
"user_media","file_url","text","YES","null","null"
"user_media","media_type","text","NO","null","null"
"user_media","created_at","timestamp with time zone","NO","now()","null"
"user_media","updated_at","timestamp with time zone","NO","now()","null"
"user_notes","id","uuid","NO","gen_random_uuid()","PRIMARY KEY, FOREIGN KEY, FOREIGN KEY"
"user_notes","user_id","uuid","YES","null","null"
"user_notes","step_id","uuid","YES","null","null"
"user_notes","content","text","NO","null","null"
"user_notes","created_at","timestamp with time zone","NO","now()","null"
"user_notes","updated_at","timestamp with time zone","NO","now()","null"
"users","instance_id","uuid","YES","null","null"
"users","id","uuid","NO","null","FOREIGN KEY, PRIMARY KEY, PRIMARY KEY, PRIMARY KEY, PRIMARY KEY"
"users","full_name","text","NO","null","null"
"users","id","uuid","NO","null","FOREIGN KEY, PRIMARY KEY, PRIMARY KEY, PRIMARY KEY, PRIMARY KEY"
"users","aud","character varying","YES","null","null"
"users","email","text","NO","null","UNIQUE"
"users","role","character varying","YES","null","null"
"users","role","USER-DEFINED","YES","'user'::user_role","null"
"users","created_at","timestamp with time zone","YES","now()","null"
"users","email","character varying","YES","null","UNIQUE"
"users","updated_at","timestamp with time zone","YES","now()","null"
"users","encrypted_password","character varying","YES","null","null"
"users","email_confirmed_at","timestamp with time zone","YES","null","null"
"users","invited_at","timestamp with time zone","YES","null","null"
"users","profile_pic_url","text","YES","null","null"
"users","confirmation_token","character varying","YES","null","null"
"users","confirmation_sent_at","timestamp with time zone","YES","null","null"
"users","recovery_token","character varying","YES","null","null"
"users","recovery_sent_at","timestamp with time zone","YES","null","null"
"users","email_change_token_new","character varying","YES","null","null"
"users","email_change","character varying","YES","null","null"
"users","email_change_sent_at","timestamp with time zone","YES","null","null"
"users","last_sign_in_at","timestamp with time zone","YES","null","null"
"users","raw_app_meta_data","jsonb","YES","null","null"
"users","raw_user_meta_data","jsonb","YES","null","null"
"users","is_super_admin","boolean","YES","null","null"
"users","created_at","timestamp with time zone","YES","null","null"
"users","updated_at","timestamp with time zone","YES","null","null"
"users","phone","text","YES","NULL::character varying","UNIQUE"
"users","phone_confirmed_at","timestamp with time zone","YES","null","null"
"users","phone_change","text","YES","''::character varying","null"
"users","phone_change_token","character varying","YES","''::character varying","null"
"users","phone_change_sent_at","timestamp with time zone","YES","null","null"
"users","confirmed_at","timestamp with time zone","YES","null","null"
"users","email_change_token_current","character varying","YES","''::character varying","null"
"users","email_change_confirm_status","smallint","YES","0","CHECK"
"users","banned_until","timestamp with time zone","YES","null","null"
"users","reauthentication_token","character varying","YES","''::character varying","null"
"users","reauthentication_sent_at","timestamp with time zone","YES","null","null"
"users","is_sso_user","boolean","NO","false","null"
"users","deleted_at","timestamp with time zone","YES","null","null"
"users","is_anonymous","boolean","NO","false","null"
